"","V1","V2"
"325","Empidonax_occidentalis",1
"326","Empidonax_flavescens",1
"327","Empidonax_fulvifrons",0
"328","Empidonax_atriceps",0
"329","Empidonax_wrightii",1
"330","Empidonax_minimus",1
"331","Empidonax_affinis",0
"332","Empidonax_oberholseri",0
"333","Empidonax_hammondii",0
"334","Empidonax_alnorum",1
"335","Empidonax_traillii",1
"336","Empidonax_albigularis",1
"337","Contopus_punensis",0
"338","Contopus_pallidus",0
"339","Sayornis_nigricans",0
"340","Sayornis_phoebe",1
"341","Sayornis_saya",1
"342","Mitrephanes_olivaceus",0
"343","Mitrephanes_phaeocercus",0
"344","Contopus_pertinax",1
"345","Contopus_ochraceus",0
"346","Contopus_albogularis",0
"347","Contopus_hispaniolensis",1
"348","Contopus_nigrescens",0
"349","Myiophobus_fasciatus",1
"350","Myiophobus_cryptoxanthus",1
"351","Fluvicola_albiventer",0
"352","Fluvicola_pica",0
"353","Pyrocephalus_rubinus",0
"354","Arundinicola_leucocephala",0
"355","Gubernetes_yetapa",0
"356","Alectrurus_risora",0
"357","Alectrurus_tricolor",0
"358","Sublegatus_modestus",0
"359","Sublegatus_arenarum",1
"360","Sublegatus_obscurior",1
"361","Fluvicola_nengeta",0
"362","Ochthoeca_frontalis",0
"363","Ochthoeca_jelskii",0
"364","Ochthoeca_nigrita",0
"365","Ochthoeca_diadema",0
"366","Ochthoeca_pulchella",0
"367","Ochthoeca_thoracica",0
"368","Ochthoeca_fumicolor",0
"369","Ochthoeca_leucophrys",0
"370","Ochthoeca_oenanthoides",0
"371","Tumbezia_salvini",0
"372","Ochthoeca_cinnamomeiventris",0
"373","Ochthoeca_rufipectoralis",0
"374","Myiophobus_phoenicomitra",0
"375","Myiophobus_flavicans",0
"376","Myiophobus_roraimae",0
"377","Colorhamphus_parvirostris",0
"378","Myiophobus_inornatus",0
"379","Colonia_colonus",0
"380","Muscigralla_brevicauda",0
"381","Zimmerius_vilissimus",1
"382","Zimmerius_albigularis",1
"383","Zimmerius_acer",1
"384","Zimmerius_bolivianus",1
"385","Zimmerius_improbus",1
"386","Zimmerius_gracilipes",1
"387","Zimmerius_cinereicapilla",1
"388","Zimmerius_viridiflavus",1
"389","Zimmerius_chrysops",1
"390","Zimmerius_villarejoi",1
"391","Phyllomyias_sclateri",0
"392","Phyllomyias_zeledoni",1
"393","Phyllomyias_cinereiceps",1
"394","Mecocerculus_calopterus",0
"395","Mecocerculus_poecilocercus",1
"396","Phyllomyias_plumbeiceps",1
"397","Phyllomyias_nigrocapillus",1
"398","Mecocerculus_minor",1
"399","Phyllomyias_burmeisteri",1
"400","Phyllomyias_uropygialis",1
"401","Ornithion_inerme",0
"402","Ornithion_semiflavum",0
"403","Camptostoma_obsoletum",1
"404","Camptostoma_imberbe",1
"405","Ornithion_brunneicapillus",0
"406","Stigmatura_budytoides",0
"407","Inezia_caudata",0
"408","Inezia_subflava",0
"409","Inezia_inornata",1
"410","Inezia_tenuirostris",1
"411","Euscarthmus_meloryphus",0
"412","Euscarthmus_rufomarginatus",1
"413","Elaenia_cristata",1
"414","Elaenia_ruficeps",1
"415","Elaenia_obscura",1
"416","Elaenia_dayi",1
"417","Elaenia_flavogaster",1
"418","Elaenia_parvirostris",1
"419","Elaenia_spectabilis",1
"420","Elaenia_mesoleuca",1
"421","Elaenia_chiriquensis",1
"422","Elaenia_albiceps",1
