Name,frugivoro,carotenoide,Musse
Mecocerculus_minor,1,1,2
Phyllomyias_nigrocapillus,1,1,2
Phyllomyias_zeledoni,1,1,2
Mecocerculus_calopterus,0,1,3
Phyllomyias_plumbeiceps,1,1,2
Phyllomyias_cinereiceps,1,1,2
Mecocerculus_poecilocercus,1,1,2
Inezia_tenuirostris,1,1,2
Inezia_caudata,0,1,3
Inezia_subflava,0,1,3
Inezia_inornata,1,1,2
Euscarthmus_meloryphus,0,0,0
Euscarthmus_rufomarginatus,1,0,1
Phyllomyias_sclateri,0,1,3
Mecocerculus_stictopterus,1,1,2
Stigmatura_budytoides,0,1,3
Elaenia_strepera,1,0,1
Elaenia_flavogaster,1,1,2
Elaenia_parvirostris,1,1,2
Elaenia_spectabilis,1,1,2
Elaenia_chiriquensis,1,1,2
Elaenia_mesoleuca,1,1,2
Elaenia_pallatangae,1,1,2
Elaenia_frantzii,1,1,2
Elaenia_albiceps,1,1,2
Elaenia_martinica,1,1,2
Elaenia_fallax,1,1,2
Elaenia_obscura,1,1,2
Elaenia_dayi,1,1,2
Elaenia_gigas,1,1,2
Elaenia_ruficeps,1,1,2
Elaenia_ridleyana,1,1,2
Elaenia_cristata,1,0,1
Tyrannulus_elatus,1,1,2
Myiopagis_flavivertex,0,1,3
Myiopagis_viridicata,1,1,2
Myiopagis_gaimardii,1,1,2
Myiopagis_caniceps,1,1,2
Myiopagis_cotta,1,1,2
Suiriri_islerorum,1,1,2
Suiriri_suiriri,1,1,2
Pseudelaenia_leucospodia,0,0,0
Stigmatura_napensis,0,1,3
Mecocerculus_leucophrys,1,1,2
Serpophaga_nigricans,0,1,3
Serpophaga_cinerea,0,1,3
Pseudocolopteryx_sclateri,0,1,3
Pseudocolopteryx_acutipennis,0,1,3
Pseudocolopteryx_flaviventris,0,1,3
Serpophaga_subcristata,0,1,3
Serpophaga_munda,0,1,3
Serpophaga_hypoleuca,0,0,0
Polystictus_pectoralis,0,0,0
Polystictus_superciliaris,0,0,0
Anairetes_agilis,0,1,3
Anairetes_flavirostris,0,1,3
Anairetes_fernandezianus,0,0,0
Anairetes_parulus,0,1,3
Anairetes_agraphia,0,0,0
Anairetes_nigrocristatus,0,0,0
Anairetes_reguloides,0,0,0
Culicivora_caudacuta,0,0,0
Nesotriccus_ridgwayi,1,1,2
Phaeomyias_tumbezana,1,0,1
Phaeomyias_murina,1,1,2
Capsiempis_flaveola,1,1,2
Phyllomyias_griseiceps,1,1,2
Phyllomyias_griseocapilla,1,1,2
Phyllomyias_fasciatus,1,1,2
Hirundinea_ferruginea,0,0,0
Pyrrhomyias_cinnamomeus,1,1,2
Myiophobus_pulcher,0,1,3
Myiophobus_ochraceiventris,1,1,2
Myiophobus_lintoni,1,1,2
Piprites_pileata,1,1,2
Piprites_chloris,1,1,2
Piprites_griseiceps,1,1,2
Oxyruncus_cristatus,1,1,2
Onychorhynchus_coronatus,0,0,0
Onychorhynchus_mexicanus,0,0,0
Myiobius_sulphureipygius,0,1,3
Myiobius_villosus,0,1,3
Myiobius_atricaudus,0,1,3
Myiobius_barbatus,0,1,3
Terenotriccus_erythrurus,0,0,0
Laniocera_rufescens,1,1,2
Laniocera_hypopyrra,1,1,2
Laniisoma_elegans,1,1,2
Schiffornis_turdina,1,1,2
Iodopleura_pipra,1,1,2
Iodopleura_fusca,1,1,2
Iodopleura_isabellae,1,1,2
Pachyramphus_viridis,1,1,2
Pachyramphus_rufus,1,0,1
Pachyramphus_niger,1,0,1
Pachyramphus_versicolor,1,1,2
Pachyramphus_validus,0,0,0
Pachyramphus_minor,1,1,2
Pachyramphus_aglaiae,1,1,2
Pachyramphus_homochrous,1,1,2
Pachyramphus_polychopterus,1,1,2
Pachyramphus_albogriseus,1,1,2
Pachyramphus_major,1,1,2
Pachyramphus_marginatus,1,1,2
Pachyramphus_castaneus,1,0,1
Pachyramphus_cinnamomeus,1,0,1
Pachyramphus_surinamus,1,0,1
Xenopsaris_albinucha,0,0,0
Tityra_cayana,1,0,1
Tityra_semifasciata,1,0,1
Tityra_inquisitor,1,0,1
Myrmornis_torquata,0,0,0
Pygiptila_stellaris,0,0,0
Thamnistes_anabatinus,1,0,1
Dysithamnus_puncticeps,0,0,0
Herpsilochmus_sticturus,0,0,0
Herpsilochmus_longirostris,0,0,0
Herpsilochmus_pectoralis,0,0,0
Herpsilochmus_axillaris,0,1,3
Herpsilochmus_roraimae,0,0,0
Herpsilochmus_atricapillus,0,0,0
Herpsilochmus_gentryi,0,1,3
Herpsilochmus_motacilloides,0,0,0
Herpsilochmus_parkeri,0,0,0
Herpsilochmus_dorsimaculatus,0,0,0
Herpsilochmus_sellowi,0,0,0
Herpsilochmus_dugandi,0,0,0
Herpsilochmus_stictocephalus,0,0,0
Herpsilochmus_pileatus,0,0,0
Herpsilochmus_rufimarginatus,1,1,2
Dysithamnus_leucostictus,0,0,0
Dysithamnus_xanthopterus,1,0,1
Dysithamnus_mentalis,1,0,1
Dysithamnus_plumbeus,0,0,0
Dysithamnus_striaticeps,0,0,0
Dysithamnus_occidentalis,0,0,0
Dysithamnus_stictothorax,1,0,1
Thamnophilus_atrinucha,0,0,0
Thamnophilus_bridgesi,0,0,0
Sakesphorus_bernardi,1,0,1
Sakesphorus_melanonotus,0,0,0
Thamnophilus_insignis,0,0,0
Thamnophilus_amazonicus,0,0,0
Sakesphorus_melanothorax,0,0,0
Thamnophilus_cryptoleucus,0,0,0
Thamnophilus_nigrocinereus,0,0,0
Thamnophilus_divisorius,0,0,0
Thamnophilus_stictocephalus,0,0,0
Xenornis_setifrons,0,0,0
Thamnophilus_punctatus,0,0,0
Thamnophilus_sticturus,0,0,0
Thamnophilus_pelzelni,0,0,0
Thamnophilus_ambiguus,0,0,0
Thamnophilus_unicolor,0,0,0
Thamnophilus_caerulescens,1,0,1
Thamnophilus_aethiops,0,0,0
Thamnophilus_aroyae,0,0,0
Thamnophilus_nigriceps,0,0,0
Thamnophilus_praecox,0,0,0
Thamnophilus_schistaceus,0,0,0
Thamnophilus_murinus,0,0,0
Thamnophilus_multistriatus,0,0,0
Thamnophilus_tenuepunctatus,0,0,0
Thamnophilus_palliatus,0,0,0
Thamnophilus_zarumae,0,0,0
Thamnophilus_ruficapillus,1,0,1
Thamnophilus_torquatus,0,0,0
Thamnophilus_doliatus,1,0,1
Sakesphorus_cristatus,0,0,0
Sakesphorus_luctuosus,0,0,0
Sakesphorus_canadensis,1,0,1
Myrmotherula_fluminensis,0,0,0
Dichrozona_cincta,0,0,0
Taraba_major,1,0,1
Cymbilaimus_lineatus,1,0,1
Cymbilaimus_sanctaemariae,0,0,0
Batara_cinerea,0,0,0
Hypoedaleus_guttatus,0,0,0
Frederickena_viridis,0,0,0
Frederickena_unduligera,0,0,0
Mackenziaena_severa,0,0,0
Mackenziaena_leachii,0,0,0
Thamnomanes_saturninus,0,0,0
Thamnomanes_ardesiacus,0,0,0
Thamnomanes_caesius,0,0,0
Thamnomanes_schistogynus,0,0,0
Myrmotherula_hauxwelli,0,0,0
Megastictus_margaritatus,0,0,0
Myrmeciza_hemimelaena,0,0,0
Hypocnemis_cantator,0,1,3
Hypocnemis_flavescens,0,1,3
Hypocnemis_striata,0,0,0
Hypocnemis_hypoxantha,0,1,3
Hypocnemis_subflava,0,1,3
Hypocnemis_peruviana,0,0,0
Drymophila_ferruginea,0,0,0
Drymophila_rubricollis,0,0,0
Drymophila_genei,0,0,0
Drymophila_ochropyga,0,0,0
