carotenoide,JETZ,IOC,Name,HBW,Familia,frugivoro
1,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Chiroxiphia_lanceolata,,Pipridae,1
1,Chiroxiphia boliviana,Chiroxiphia boliviana,Chiroxiphia_boliviana,,Pipridae,1
1,Chiroxiphia linearis,Chiroxiphia linearis,Chiroxiphia_linearis,,Pipridae,1
1,Antilophia galeata,Antilophia galeata,Antilophia_galeata,,Pipridae,1
1,Antilophia bokermanni,Antilophia bokermanni,Antilophia_bokermanni,,Pipridae,1
1,Lepidothrix vilasboasi,Lepidothrix vilasboasi,Lepidothrix_vilasboasi,,Pipridae,1
1,Lepidothrix serena,Lepidothrix serena,Lepidothrix_serena,,Pipridae,1
1,Lepidothrix suavissima,Lepidothrix suavissima,Lepidothrix_suavissima,,Pipridae,1
1,Lepidothrix nattereri,Lepidothrix nattereri,Lepidothrix_nattereri,,Pipridae,1
1,Lepidothrix coronata,Lepidothrix coronata,Lepidothrix_coronata,,Pipridae,1
1,Manacus manacus,Manacus manacus,Manacus_manacus,,Pipridae,1
1,Manacus vitellinus,Manacus vitellinus,Manacus_vitellinus,,Pipridae,1
1,Manacus candei,Manacus candei,Manacus_candei,,Pipridae,1
1,Manacus aurantiacus,Manacus aurantiacus,Manacus_aurantiacus,,Pipridae,1
1,Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,Machaeropterus_pyrocephalus,,Pipridae,1
1,Pipra mentalis,Dixiphia mentalis,Pipra_mentalis,,Pipridae,1
1,Pipra erythrocephala,Dixiphia erythrocephala,Pipra_erythrocephala,,Pipridae,1
1,Pipra rubrocapilla,Dixiphia rubrocapilla,Pipra_rubrocapilla,,Pipridae,1
1,Pipra cornuta,Dixiphia cornuta,Pipra_cornuta,,Pipridae,1
1,Machaeropterus deliciosus,Machaeropterus deliciosus,Machaeropterus_deliciosus,,Pipridae,1
1,Pipra pipra,Dixiphia pipra,Pipra_pipra,,Pipridae,1
1,Pipra fasciicauda,Pipra fasciicauda,Pipra_fasciicauda,,Pipridae,1
1,Pipra aureola,Pipra aureola,Pipra_aureola,,Pipridae,1
1,Pipra filicauda,Pipra filicauda,Pipra_filicauda,,Pipridae,1
1,Heterocercus linteatus,Heterocercus linteatus,Heterocercus_linteatus,,Pipridae,1
1,Heterocercus aurantiivertex,Heterocercus aurantiivertex,Heterocercus_aurantiivertex,,Pipridae,1
1,Heterocercus flavivertex,Heterocercus flavivertex,Heterocercus_flavivertex,,Pipridae,1
1,Tyranneutes virescens,Tyranneutes virescens,Tyranneutes_virescens,,Pipridae,1
1,Tyranneutes stolzmanni,Tyranneutes stolzmanni,Tyranneutes_stolzmanni,,Pipridae,1
1,Neopelma chrysocephalum,Neopelma chrysocephalum,Neopelma_chrysocephalum,,Pipridae,1
1,Neopelma sulphureiventer,Neopelma sulphureiventer,Neopelma_sulphureiventer,,Pipridae,1
1,Neopelma chrysolophum,Neopelma chrysolophum,Neopelma_chrysolophum,,Pipridae,1
1,Neopelma pallescens,Neopelma pallescens,Neopelma_pallescens,,Pipridae,1
1,Neopelma aurifrons,Neopelma aurifrons,Neopelma_aurifrons,,Pipridae,1
1,Tachuris rubrigastra,Tachuris rubrigastra,Tachuris_rubrigastra,,Tyrannidae,0
1,Rhynchocyclus fulvipectus,Rhynchocyclus fulvipectus,Rhynchocyclus_fulvipectus,,Tyrannidae,0
1,Rhynchocyclus olivaceus,Rhynchocyclus olivaceus,Rhynchocyclus_olivaceus,,Tyrannidae,0
1,Rhynchocyclus pacificus,Rhynchocyclus pacificus,Rhynchocyclus_pacificus,,Tyrannidae,0
1,Rhynchocyclus brevirostris,Rhynchocyclus brevirostris,Rhynchocyclus_brevirostris,,Tyrannidae,1
1,Tolmomyias poliocephalus,Tolmomyias poliocephalus,Tolmomyias_poliocephalus,,Tyrannidae,0
1,Tolmomyias assimilis,Tolmomyias assimilis,Tolmomyias_assimilis,,Tyrannidae,1
1,Tolmomyias flavotectus,Tolmomyias flavotectus,Tolmomyias_flavotectus,,Tyrannidae,1
1,Tolmomyias viridiceps,Tolmomyias viridiceps,Tolmomyias_viridiceps,,Tyrannidae,0
1,Tolmomyias flaviventris,Tolmomyias flaviventris,Tolmomyias_flaviventris,,Tyrannidae,1
1,Tolmomyias traylori,Tolmomyias traylori,Tolmomyias_traylori,,Tyrannidae,0
1,Tolmomyias sulphurescens,Tolmomyias sulphurescens,Tolmomyias_sulphurescens,,Tyrannidae,1
1,Poecilotriccus latirostris,Poecilotriccus latirostris,Poecilotriccus_latirostris,,Tyrannidae,0
1,Poecilotriccus sylvia,Poecilotriccus sylvia,Poecilotriccus_sylvia,,Tyrannidae,1
1,Poecilotriccus fumifrons,Poecilotriccus fumifrons,Poecilotriccus_fumifrons,,Tyrannidae,0
1,Poecilotriccus luluae,Poecilotriccus luluae,Poecilotriccus_luluae,,Tyrannidae,0
1,Poecilotriccus plumbeiceps,Poecilotriccus plumbeiceps,Poecilotriccus_plumbeiceps,,Tyrannidae,0
1,Poecilotriccus russatus,Poecilotriccus russatus,Poecilotriccus_russatus,,Tyrannidae,0
1,Poecilotriccus pulchellus,Poecilotriccus pulchellus,Poecilotriccus_pulchellus,,Tyrannidae,0
1,Poecilotriccus albifacies,Poecilotriccus albifacies,Poecilotriccus_albifacies,,Tyrannidae,0
1,Poecilotriccus capitalis,Poecilotriccus capitalis,Poecilotriccus_capitalis,,Tyrannidae,0
1,Poecilotriccus ruficeps,Poecilotriccus ruficeps,Poecilotriccus_ruficeps,,Tyrannidae,0
1,Poecilotriccus calopterus,Poecilotriccus calopterus,Poecilotriccus_calopterus,,Tyrannidae,0
1,Todirostrum pictum,Todirostrum pictum,Todirostrum_pictum,,Tyrannidae,0
1,Todirostrum poliocephalum,Todirostrum poliocephalum,Todirostrum_poliocephalum,,Tyrannidae,0
1,Todirostrum cinereum,Todirostrum cinereum,Todirostrum_cinereum,,Tyrannidae,1
1,Todirostrum viridanum,Todirostrum viridanum,Todirostrum_viridanum,,Tyrannidae,0
1,Todirostrum chrysocrotaphum,Todirostrum chrysocrotaphum,Todirostrum_chrysocrotaphum,,Tyrannidae,0
1,Todirostrum nigriceps,Todirostrum nigriceps,Todirostrum_nigriceps,,Tyrannidae,0
1,Todirostrum maculatum,Todirostrum maculatum,Todirostrum_maculatum,,Tyrannidae,0
1,Myiornis atricapillus,Myiornis atricapillus,Myiornis_atricapillus,,Tyrannidae,0
1,Myiornis albiventris,Myiornis albiventris,Myiornis_albiventris,,Tyrannidae,0
1,Myiornis ecaudatus,Myiornis ecaudatus,Myiornis_ecaudatus,,Tyrannidae,0
1,Myiornis auricularis,Myiornis auricularis,Myiornis_auricularis,,Tyrannidae,0
1,Lophotriccus eulophotes,Lophotriccus eulophotes,Lophotriccus_eulophotes,,Tyrannidae,0
1,Lophotriccus galeatus,Lophotriccus galeatus,Lophotriccus_galeatus,,Tyrannidae,0
1,Lophotriccus pileatus,Lophotriccus pileatus,Lophotriccus_pileatus,,Tyrannidae,0
1,Lophotriccus vitiosus,Lophotriccus vitiosus,Lophotriccus_vitiosus,,Tyrannidae,0
1,Oncostoma cinereigulare,Oncostoma cinereigulare,Oncostoma_cinereigulare,,Tyrannidae,1
1,Oncostoma olivaceum,Oncostoma olivaceum,Oncostoma_olivaceum,,Tyrannidae,1
1,Hemitriccus granadensis,Hemitriccus granadensis,Hemitriccus_granadensis,,Tyrannidae,0
1,Hemitriccus minor,Hemitriccus minor,Hemitriccus_minor,,Tyrannidae,0
1,Hemitriccus kaempferi,Hemitriccus kaempferi,Hemitriccus_kaempferi,,Tyrannidae,0
1,Atalotriccus pilaris,Atalotriccus pilaris,Atalotriccus_pilaris,,Tyrannidae,0
1,Hemitriccus griseipectus,Hemitriccus griseipectus,Hemitriccus_griseipectus,,Tyrannidae,0
1,Hemitriccus mirandae,Hemitriccus mirandae,Hemitriccus_mirandae,,Tyrannidae,0
1,Hemitriccus furcatus,Hemitriccus furcatus,Hemitriccus_furcatus,,Tyrannidae,0
1,Hemitriccus spodiops,Hemitriccus spodiops,Hemitriccus_spodiops,,Tyrannidae,0
1,Hemitriccus diops,Hemitriccus diops,Hemitriccus_diops,,Tyrannidae,0
1,Hemitriccus flammulatus,Hemitriccus flammulatus,Hemitriccus_flammulatus,,Tyrannidae,0
1,Hemitriccus orbitatus,Hemitriccus orbitatus,Hemitriccus_orbitatus,,Tyrannidae,0
