Iteration	Posterior	Likelihood	Prior	alpha	beta	num_events[1]	num_events[2]	rate_pr[1]	rate_pr[2]	root_frequencies[1]	root_frequencies[2]
99	-3.11993	-7.66272	4.54279	0.003854208	0.0009913873	4.4353	0.745585	73.79	438.958	0.509808	0.490192
100	-2.56799	-7.85876	5.29077	0.003854208	0.0009913873	1.46674	0.840079	223.135	389.583	0.335011	0.664989
101	-2.93488	-7.32334	4.38846	0.003854208	0.0009913873	0.875486	2.27609	373.827	143.791	0.906547	0.0934526
102	-4.37358	-7.32334	2.94977	0.003854208	0.0009913873	1.08553	6.92318	301.494	47.2732	0.906547	0.0934526
103	-4.23317	-7.57864	3.34547	0.003854208	0.0009913873	1.64193	5.09938	199.327	64.1805	0.595925	0.404075
104	-4.2108	-7.41356	3.20275	0.003854208	0.0009913873	2.58821	4.6664	126.451	70.1356	0.787626	0.212374
105	-7.77099	-7.3162	-0.454789	0.003854208	0.0009913873	5.13426	20.1628	63.7444	16.2319	0.916432	0.0835682
106	-4.76176	-7.57854	2.81678	0.003854208	0.0009913873	2.53502	6.12712	129.104	53.4151	0.596037	0.403963
107	-4.8637	-7.76631	2.9026	0.003854208	0.0009913873	7.57097	2.13881	43.2284	153.02	0.413187	0.586813
108	-5.54037	-7.94809	2.40772	0.003854208	0.0009913873	16.7971	0.215339	19.4844	1519.84	0.266045	0.733955
109	-5.86049	-8.34877	2.48828	0.003854208	0.0009913873	16.7971	0.283771	19.4844	1153.32	0.0223701	0.97763
110	-5.22468	-8.16342	2.93874	0.003854208	0.0009913873	13.8892	0.259976	23.5637	1258.89	0.123051	0.876949
111	-4.68504	-7.83061	3.14557	0.003854208	0.0009913873	8.98132	1.23482	36.4401	265.042	0.358053	0.641947
112	-2.90413	-7.83061	4.92648	0.003854208	0.0009913873	3.73716	0.518024	87.5746	631.787	0.358053	0.641947
113	-3.17692	-7.37202	4.19511	0.003854208	0.0009913873	5.89822	0.730309	55.488	448.14	0.841042	0.158958
114	-3.75629	-7.37613	3.61984	0.003854208	0.0009913873	5.9528	1.49007	54.9792	219.642	0.835663	0.164337
115	-3.60777	-7.29783	3.69007	0.003854208	0.0009913873	5.26523	1.64448	62.1588	199.018	0.94217	0.0578303
116	-4.2243	-7.54689	3.32259	0.003854208	0.0009913873	5.26523	2.34823	62.1588	139.373	0.630386	0.369614
